feature,mean_abs_shap
cat__Have you been diagnosed with a mental health condition by a medical professional?_No,0.07697844209982385
cat__Have you been diagnosed with a mental health condition by a medical professional?_Yes,0.07085551267640043
"cat__If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?_Not applicable to me",0.05837691054895416
cat__Have you had a mental health disorder in the past?_Yes,0.05303257625332484
"cat__If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?_Not applicable to me",0.036050367636709615
cat__Have you had a mental health disorder in the past?_No,0.03480557028493467
"cat__If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?_Often",0.03118466215026469
cat__Do you currently have a mental health disorder?_Yes,0.023168897848495767
cat__Do you have a family history of mental illness?_No,0.015062379735509139
cat__Do you currently have a mental health disorder?_No,0.014362916341490612
"cat__If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?_Sometimes",0.011980118523985341
cat__Were you aware of the options for mental health care provided by your previous employers?_N/A (not currently aware),0.011751884280777041
cat__Do you have a family history of mental illness?_Yes,0.011356655217084864
"cat__If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?_Rarely",0.011352608791826169
cat__Have you had a mental health disorder in the past?_Maybe,0.006449458859853703
cat__How willing would you be to share with friends and family that you have a mental illness?_Very open,0.006308194976799764
cat__Were you aware of the options for mental health care provided by your previous employers?_I was aware of some,0.0059847178962790385
cat__What is your gender?_female,0.005457603289594919
cat__What country do you live in?_United States of America,0.005410796333414136
cat__What country do you work in?_United States of America,0.004998014168388961
cat__Did you feel that your previous employers took mental health as seriously as physical health?_Some did,0.004031420818863684
cat__How willing would you be to share with friends and family that you have a mental illness?_Not applicable to me (I do not have a mental illness),0.003718274160753941
cat__What is your gender?_male,0.0034536797666701235
cat__Have your previous employers provided mental health benefits?_I don't know,0.0033212527274816646
cat__Do you know the options for mental health care available under your employer-provided coverage?_Yes,0.0029366725154164543
"cat__If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?_Sometimes",0.0028544440409164263
cat__Why or why not?.1_Stigma,0.0028458421892494255
cat__Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?_None of them,0.0028372607037802002
cat__Do you think that discussing a mental health disorder with your employer would have negative consequences?_No,0.002777926048229964
cat__Did your previous employers provide resources to learn more about mental health issues and how to seek help?_None did,0.0026128378730533334
cat__Did your previous employers provide resources to learn more about mental health issues and how to seek help?_Some did,0.002601860321914721
"cat__If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?_Never",0.0024923731681172957
cat__Does your employer provide mental health benefits as part of healthcare coverage?_Yes,0.0022729645138397864
cat__Would you bring up a mental health issue with a potential employer in an interview?_No,0.0021246219794354274
cat__Do you think that discussing a mental health disorder with previous employers would have negative consequences?_Some of them,0.002024938983976978
cat__Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?_No,0.001984853274080004
cat__How willing would you be to share with friends and family that you have a mental illness?_Neutral,0.0018416283850722108
